Arrived	Location	Type and Price	Details
Apr 22 2018	Azalea Campground
$15	
Oct 31 2012	Florence Keller Regional Park
Crescent City, California	County Park
$10	
Oct 27 2012	Harris Beach State Park
Brookings, Oregon	State Park
$21	
Oct 24 2012	Humbug Mountain State Park
Port Orford, Oregon	State Park
$16	
Oct 22 2012	Cape Blanco State Park
Sixes, Oregon	State Park
$16	
Oct 19 2012	Bullards Beach State Park
Bandon, Oregon	State Park
$20	
Oct 17 2012	Winchester Bay RV Resort
Winchester Bay, Oregon	Private RV Park
$27	
Oct 16 2012	Bastendorff Beach 
Coos Bay, Oregon	BLM Boondocking
$0	
Oct 14 2012	Bastendorff Beach Park
Coos Bay, Oregon	County Park
$22	
Oct 11 2012	Armitage County Park
Eugene, Oregon	County Park
$30	
Oct 9 2012	Valley River Center
Eugene, Oregon	Parking Lot
$0	
Oct 4 2012	South Beach State Park
Newport, Oregon	State Park
$22	
Oct 1 2012	Beverly Beach State Park
Newport, Oregon	State Park
$22	
Sep 28 2012	Cape Lookout State Park
Tillamook, Oregon	State Park
$24	
Sep 26 2012	Columbia River RV Park
Portland, Oregon	Private RV Park
$30	
Sep 25 2012	Henry Rierson Spruce Run Campground
Seaside, Oregon	State Forest Campground
$10	
Sep 22 2012	Fort Stevens State Park
Hammond, Oregon	State Park
$27	
Sep 19 2012	Quinault Marina & RV Park
Ocean Shores, Washington	Private RV Park
$30	
Sep 16 2012	Mora, Olympic National Park
Forks, Washington	National Park
$12	
Sep 13 2012	Heart O Hills, Olympic National Park
Port Angeles, Washington	National Park
$12	
Sep 12 2012	Fort Worden State Park
Port Townsend, Washington	State Park
$36	
Sep 9 2012	Deception Pass State Park
Oak Harbor, Washington	State Park
$29	
Sep 6 2012	Newhalem Campground, Northern Cascades NP
Marblemount, Washington	National Park
$12	
Sep 5 2012	Bridgeport State Park
Bridgeport, Washington	State Park
$22	
Sep 4 2012	Northern Quest Resort & Casino
Spokane, Washington	Parking Lot
$0	
Sep 1 2012	Schweitzer Mountain Resort
Sandpoint, Idaho	Parking Lot
$0	
Aug 31 2012	Firemans Park Campground
Libby, Montana	City Park
$5	
Aug 29 2012	Apgar Campground, Glacier National Park
West Glacier, Montana	National Park
$20	
Aug 26 2012	Avalanche Campground, Glacier National Park
West Glacier, Montana	National Park
$20	
Aug 24 2012	Big Arm State Park
Big Arm, Montana	State Park
$28	
Aug 23 2012	Walmart Supercenter
Missoula, Montana	Parking Lot
$0	
Aug 21 2012	Stuart Mill Bay Campground
Anaconda, Montana	Montana Fish & Wildlife
$12	
Aug 20 2012	Lewis and Clark Cavern State Park
Whitehall, Montana	State Park
$23	
Aug 15 2012	Rock Canyon RV Park
Livingston, Montana	Private RV Park
$37	
Aug 14 2012	Indian Creak
Yellowstone National Park, Wyoming	National Park
$15	
Aug 12 2012	Grassy Lake Rd
Moran, Wyoming	National Forest
$0	
Aug 9 2012	Signal Mountain Campground
Alta, Wyoming	National Park
$21	
Aug 7 2012	Turpin Meadow Campground
Moran, Wyoming	National Forest
$10	
Aug 5 2012	Longhorn RV & Motel
Dubois, Wyoming	Private RV Park
$50	
Aug 4 2012	Riverside Park
Douglas, Wyoming	City Park
$0	
Aug 3 2012	Bismark Lake Campground
Custer, South Dakota	National Forest
$24	
Aug 1 2012	Badlands National Park
Interior, South Dakota	National Park
$26	
Jul 31 2012	Arlington City Park
Arlington, South Dakota	City Park
$5	
Jul 27 2012	Lebanon Hills Park Campground
Saint Paul, Minnesota	County Park
$25	
Jul 24 2012	Sandy Lake and Dam
McGregor, Minnesota	Army Corps of Engineers
$26	
Jul 22 2012	Temperance River State Park
Schroeder, Minnesota	State Park
$22	
Jul 20 2012	Gooseberry Falls State Park
Two Harbors, Minnesota	State Park
$22	
Jul 17 2012	Indian Point Campground
Duluth, Minnesota	Private RV Park
$33	
Jul 15 2012	Memorial Park
Washburn, Wisconsin	City Park
$22	
Jul 13 2012	Little Bay Campground
Rapid River, Michigan	National Forest
$12	
Jul 10 2012	Brevoort Lake Campground
Moran, Michigan	National Forest
$18	
Jul 8 2012	D H Day Campground
Empire, Michigan	National Park
$12	
Jul 5 2012	Claybanks Township Park
New Era, Michigan	County Park
$20	
Jul 3 2012	A Driveway
Mount Clemens, Michigan	Private Residence
$0	
Jul 2 2012	Cabelas
Dundee, Michigan	Parking Lot
$0	
Jun 29 2012	Mosquito Lake State Park
Cortland, Ohio	State Park
$26	
Jun 27 2012	Penn Wood Airstream Park
New Bethlehem, Pennsylvania	Private RV Park
$20	
Jun 24 2012	Buckaloons Recreation Area
Irvine, Pennsylvania	National Forest
$23	
Jun 22 2012	Sampson State Park
Romulus, New York	State Park
$30	
Jun 18 2012	Keuka Lake
Keuka Park, New York	State Park
$26	
Jun 16 2012	Long Point State Park
Three Mile Bay, New York	State Park
$30	
Jun 15 2012	Chapin Rd
Essex, Vermont	Private Residence
$0	
Jun 14 2012	82 Smugglers View Rd
Jeffersonville, Vermont	Private Residence
$0	
Jun 14 2012	Lang Farm Nursery
Essex, Vermont	Private Residence
$0	
